Телефон,email,Статус,Оценка,Сервис
79045552803,,"Не опрошен",,
79255567057,,"Не опрошен",,
79045555192,,"Не опрошен",,
79355535603,,"Не опрошен",,
79155584980,,"Не опрошен",,
79355515616,,"Не опрошен",,
79155559956,,"Не опрошен",,
79155562907,,"Не опрошен",,
79045555613,,"Не опрошен",,
79025557290,,"Не опрошен",,
79085558988,,"Не опрошен",,
79525557108,,"Не опрошен",,
79355554166,,"Не опрошен",,
79355597462,,"Не опрошен",,
79525559365,,"Не опрошен",,
79155534815,,"Не опрошен",,
79355557239,,"Не опрошен",,
79155517921,,"Не опрошен",,
79355535049,,"Не опрошен",,
79095554136,,"Не опрошен",,
79075553742,,"Не опрошен",,
79255596254,,"Не опрошен",,
79155596907,,"Не опрошен",,
79155503952,,"Не опрошен",,
79355535761,,"Не опрошен",,
79355521802,,"Не опрошен",,
79075552658,,"Не опрошен",,
79065559712,,"Не опрошен",,
79065550528,,"Не опрошен",,
79355512356,,"Не опрошен",,
79355538439,,"Не опрошен",,
79155578263,,"Не опрошен",,
79525551084,,"Не опрошен",,
79155536186,,"Не опрошен",,
79255501694,,"Не опрошен",,
79255501948,,"Не опрошен",,
79355534276,,"Не опрошен",,
79355522644,,"Не опрошен",,
79535557870,,"Не опрошен",,
79535550494,,"Не опрошен",,
79525558865,,"Не опрошен",,
79155535442,,"Не опрошен",,
79515553075,,"Не опрошен",,
79155579782,,"Не опрошен",,
79045558065,,"Не опрошен",,
79535554846,,"Не опрошен",,
79095554139,,"Не опрошен",,
79535558743,,"Не опрошен",,
79155583046,,"Не опрошен",,
79255582270,,"Не опрошен",,
79045555460,,"Не опрошен",,
79055554652,,"Не опрошен",,
79075555136,,"Не опрошен",,
79525551947,,"Не опрошен",,
79085555068,,"Не опрошен",,
79255520920,,"Не опрошен",,
79045550733,,"Не опрошен",,
79525555252,,"Не опрошен",,
79025557046,,"Не опрошен",,
79515558818,,"Не опрошен",,
79515555220,,"Не опрошен",,
79515551673,,"Не опрошен",,
79025556167,,"Не опрошен",,
79535552901,,"Не опрошен",,
79155599697,,"Не опрошен",,
79535559258,,"Не опрошен",,
79535555333,,"Не опрошен",,
79065550616,,"Не опрошен",,
79525553089,,"Не опрошен",,
79085558943,,"Не опрошен",,
79525550168,,"Не опрошен",,
79065554902,,"Не опрошен",,
79075551048,,"Не опрошен",,
79255599466,,"Не опрошен",,
79355529264,,"Не опрошен",,
79055555288,,"Не опрошен",,
79255599044,,"Не опрошен",,
79535550011,,"Не опрошен",,
79065554764,,"Не опрошен",,
79155573942,,"Не опрошен",,
79045558852,,"Не опрошен",,
79095550298,,"Не опрошен",,
79535559540,,"Не опрошен",,
79095553274,,"Не опрошен",,
79525556551,,"Не опрошен",,
79255503372,,"Не опрошен",,
79085557791,,"Не опрошен",,
79355515115,,"Не опрошен",,
79055556504,,"Не опрошен",,
79255502258,,"Не опрошен",,
79535555705,,"Не опрошен",,
79065559966,,"Не опрошен",,
79535558056,,"Не опрошен",,
79155593147,,"Не опрошен",,
79255590797,,"Не опрошен",,
79535557537,,"Не опрошен",,
79525551447,,"Не опрошен",,
79535552652,,"Не опрошен",,
79255553423,,"Не опрошен",,
79525552814,,"Не опрошен",,
79535553972,,"Не опрошен",,
79155567304,,"Не опрошен",,
79015559195,,"Не опрошен",,
79515556723,,"Не опрошен",,
79525552490,,"Не опрошен",,
79355588345,,"Не опрошен",,
79525558139,,"Не опрошен",,
79525554248,,"Не опрошен",,
79355526139,,"Не опрошен",,
79525553753,,"Не опрошен",,
79355599734,,"Не опрошен",,
79535558840,,"Не опрошен",,
79155588617,,"Не опрошен",,
79355577880,,"Не опрошен",,
79355532779,,"Не опрошен",,
79355536230,,"Не опрошен",,
79515554715,,"Не опрошен",,
79525553960,,"Не опрошен",,
79155551404,,"Не опрошен",,
79535554988,,"Не опрошен",,
79095551325,,"Не опрошен",,
79535557571,,"Не опрошен",,
79355510889,,"Не опрошен",,
79515551867,,"Не опрошен",,
79095552086,,"Не опрошен",,
79055550843,,"Не опрошен",,
79355510813,,Опрошен,,
79515556744,,"Не опрошен",,
79525556956,,"Не опрошен",,
79355558225,,"Не опрошен",,
79095553516,,"Не опрошен",,
79015559506,,"Не опрошен",,
79515556147,,"Не опрошен",,
79535556111,,"Не опрошен",,
79355531051,,"Не опрошен",,
79065551022,,"Не опрошен",,
79535554742,,"Не опрошен",,
79035559613,,"Не опрошен",,
79515553897,,"Не опрошен",,
79515553793,,"Не опрошен",,
79075554152,,"Не опрошен",,
79035550607,,"Не опрошен",,
79155556959,,Опрошен,,
79075559157,,"Не опрошен",,
79025556489,,"Не опрошен",,
79155536034,,"Не опрошен",,
79065555233,,"Не опрошен",,
79015559331,,"Не опрошен",,
79095554147,,"Не опрошен",,
79535556001,,"Не опрошен",,
79065558212,,"Не опрошен",,
79035556815,,"Не опрошен",,
79255503383,,"Не опрошен",,
79065556898,,"Не опрошен",,
79155598645,,"Не опрошен",,
79255592106,,"Не опрошен",,
79515552344,,"Не опрошен",,
79055557467,,"Не опрошен",,
79515558456,,"Не опрошен",,
79255540509,,"Не опрошен",,
79515555928,,"Не опрошен",,
79515551482,,Опрошен,,
79515550637,,"Не опрошен",,
79065552853,,"Не опрошен",,
79255539259,,"Не опрошен",,
79255558965,,"Не опрошен",,
79525555773,,"Не опрошен",,
79155575364,,"Не опрошен",,
79515555347,,"Не опрошен",,
79355547878,,"Не опрошен",,
79525554161,,"Не опрошен",,
79255512830,,"Не опрошен",,
79015555912,,"Не опрошен",,
79355553692,,"Не опрошен",,
79255531459,,"Не опрошен",,
79155531043,,"Не опрошен",,
79025558819,,"Не опрошен",,
79515554534,churik34@mail.ru,Опрошен,Удовлетворительно,балансировка
79525552301,,"Не опрошен",,
79035558307,,"Не опрошен",,
79085558998,,"Не опрошен",,
79255520347,,"Не опрошен",,
79015555861,,"Не опрошен",,
79525551663,,"Не опрошен",,
79025551570,,"Не опрошен",,
79355544250,,"Не опрошен",,
79085559802,,"Не опрошен",,
79015559315,,"Не опрошен",,
79155560312,,"Не опрошен",,
79515557712,,"Не опрошен",,
79055555118,,"Не опрошен",,
79015558397,,"Не опрошен",,
79535554337,,"Не опрошен",,
79055556041,,"Не опрошен",,
79535552458,,"Не опрошен",,
79515551275,,"Не опрошен",,
79075558481,,"Не опрошен",,
79155542220,,"Не опрошен",,
79055559211,,"Не опрошен",,
79535555719,,"Не опрошен",,
79065551172,,"Не опрошен",,
79535557115,,"Не опрошен",,
79015550248,,"Не опрошен",,
79515552996,,"Не опрошен",,
79535551490,,"Не опрошен",,
79155545740,,"Не опрошен",,
79515550883,,"Не опрошен",,
79255587487,,"Не опрошен",,
79155592128,,"Не опрошен",,
79515552091,,"Не опрошен",,
79015559460,,"Не опрошен",,
79065555788,,"Не опрошен",,
79255526514,,"Не опрошен",,
79095553343,,"Не опрошен",,
79255591385,,Опрошен,,
79535553579,,"Не опрошен",,
79255581600,,"Не опрошен",,
79525553180,,"Не опрошен",,
79525556212,medwed@kremlin.ru,Опрошен,Хорошо,"замена шин"
79155528767,,"Не опрошен",,
79525558665,,"Не опрошен",,
79255525117,,"Не опрошен",,
79255555742,,"Не опрошен",,
79095553440,,"Не опрошен",,
79065551386,,"Не опрошен",,
79355582131,,"Не опрошен",,
79355549190,,"Не опрошен",,
79025556963,,"Не опрошен",,
79255520871,,"Не опрошен",,
79025551439,,"Не опрошен",,
79155580989,,"Не опрошен",,
79535555285,,"Не опрошен",,
79155564757,,"Не опрошен",,
79155596618,,"Не опрошен",,
79355550396,,"Не опрошен",,
79355549562,,"Не опрошен",,
79525552919,,"Не опрошен",,
79025559163,,"Не опрошен",,
79525558937,,"Не опрошен",,
79155569362,,"Не опрошен",,
79355521387,,"Не опрошен",,
79085554935,,"Не опрошен",,
79525558086,,"Не опрошен",,
79515555343,,"Не опрошен",,
79015554114,,"Не опрошен",,
79525550499,,"Не опрошен",,
79035552787,,"Не опрошен",,
79085553678,,"Не опрошен",,
79515551625,,"Не опрошен",,
79535554565,,"Не опрошен",,
79035551520,,"Не опрошен",,
79155517215,,"Не опрошен",,
79535550310,,"Не опрошен",,
79535551460,,"Не опрошен",,
79525554380,,"Не опрошен",,
79535557318,,"Не опрошен",,
79065552539,,"Не опрошен",,
79355551352,,"Не опрошен",,
79255512431,,"Не опрошен",,
79515558160,,"Не опрошен",,
79085557356,,"Не опрошен",,
79515558656,,"Не опрошен",,
79525550496,,"Не опрошен",,
79035551997,,"Не опрошен",,
79095558562,,"Не опрошен",,
79355544683,,"Не опрошен",,
79535558021,,"Не опрошен",,
79155525321,,"Не опрошен",,
79015559497,,"Не опрошен",,
79535550665,,"Не опрошен",,
79075557791,,"Не опрошен",,
79255501167,,"Не опрошен",,
79255519431,,"Не опрошен",,
79155599411,,"Не опрошен",,
79015552438,,"Не опрошен",,
79075553948,,"Не опрошен",,
79535552952,,"Не опрошен",,
79525554304,,"Не опрошен",,
79255582870,,"Не опрошен",,
79015551839,,"Не опрошен",,
79155553505,,"Не опрошен",,
79155599421,,"Не опрошен",,
79025559990,,"Не опрошен",,
79535553770,,"Не опрошен",,
79535556835,,"Не опрошен",,
79155535452,,"Не опрошен",,
79075551069,,"Не опрошен",,
79355598261,,"Не опрошен",,
79515557178,,"Не опрошен",,
79155556897,,"Не опрошен",,
79045556807,,"Не опрошен",,
79025550338,,"Не опрошен",,
79025558854,,"Не опрошен",,
79045557518,,"Не опрошен",,
79055553968,,"Не опрошен",,
79025554074,,"Не опрошен",,
79515550825,,"Не опрошен",,
79155588277,,"Не опрошен",,
79525558541,,"Не опрошен",,
79065552799,,"Не опрошен",,
79015556259,,"Не опрошен",,
79045551954,,"Не опрошен",,
79055553433,,"Не опрошен",,
79085559635,,"Не опрошен",,
79515551814,,"Не опрошен",,
79255546402,,"Не опрошен",,
79525550116,,"Не опрошен",,
79525556458,,"Не опрошен",,
79055559394,,"Не опрошен",,
79525554972,,"Не опрошен",,
79355576440,,"Не опрошен",,
79255528897,,"Не опрошен",,
79515552810,,"Не опрошен",,
79065554845,,"Не опрошен",,
79515556904,,"Не опрошен",,
79355515145,,"Не опрошен",,
79015552906,,"Не опрошен",,
79355576164,,"Не опрошен",,
79095556896,,"Не опрошен",,
79055551205,,"Не опрошен",,
79065557158,,"Не опрошен",,
79065554125,,"Не опрошен",,
79355500302,,"Не опрошен",,
79155521997,,"Не опрошен",,
79045550317,,"Не опрошен",,
79025558886,,"Не опрошен",,
79015559038,,"Не опрошен",,
79085551021,,"Не опрошен",,
79155506334,,"Не опрошен",,
79015551509,,"Не опрошен",,
79255558593,,"Не опрошен",,
79255529154,,"Не опрошен",,
79155529151,,"Не опрошен",,
79355584248,,"Не опрошен",,
79015557061,,"Не опрошен",,
79055554179,,"Не опрошен",,
79355506446,,"Не опрошен",,
79045557997,,"Не опрошен",,
79535551432,,"Не опрошен",,
79515556714,,"Не опрошен",,
79355535882,,"Не опрошен",,
79355529680,,"Не опрошен",,
79515555152,,"Не опрошен",,
79045550418,,"Не опрошен",,
79065551031,,"Не опрошен",,
79525559937,,"Не опрошен",,
79535551588,,"Не опрошен",,
79255536693,,"Не опрошен",,
79525554202,,"Не опрошен",,
79155504518,,"Не опрошен",,
79075554867,,"Не опрошен",,
79355558554,,"Не опрошен",,
79045551193,,"Не опрошен",,
79045551977,,"Не опрошен",,
79515558828,,"Не опрошен",,
79535554976,,"Не опрошен",,
79525551531,,"Не опрошен",,
79155592792,,"Не опрошен",,
79525554628,,"Не опрошен",,
79025552247,,"Не опрошен",,
79085559388,,"Не опрошен",,
79095553696,,"Не опрошен",,
79355554291,,"Не опрошен",,
79525554889,,"Не опрошен",,
79155574891,,"Не опрошен",,
79255585997,,"Не опрошен",,
79355582613,,"Не опрошен",,
79525550995,,"Не опрошен",,
79025557225,,"Не опрошен",,
79355593941,,"Не опрошен",,
79095552788,,"Не опрошен",,
79515554693,,"Не опрошен",,
79015553824,,"Не опрошен",,
79515550505,,"Не опрошен",,
79525550956,,"Не опрошен",,
79355574506,,"Не опрошен",,
79535557679,,"Не опрошен",,
79085550121,,"Не опрошен",,
79535558364,,"Не опрошен",,
79535552808,,"Не опрошен",,
79035559555,,"Не опрошен",,
79085558426,,"Не опрошен",,
79255531078,,"Не опрошен",,
79095558604,,"Не опрошен",,
79025558186,,"Не опрошен",,
79525552809,,"Не опрошен",,
79255596692,,"Не опрошен",,
79055550164,,"Не опрошен",,
79355509444,,"Не опрошен",,
79355581365,,"Не опрошен",,
79525558984,,"Не опрошен",,
79155565693,,"Не опрошен",,
79515553903,,"Не опрошен",,
79355576501,,"Не опрошен",,
79535552245,,"Не опрошен",,
79015554894,,"Не опрошен",,
79055552777,,"Не опрошен",,
79055558625,,"Не опрошен",,
79255590639,,"Не опрошен",,
79055551289,,"Не опрошен",,
79255556323,,"Не опрошен",,
79045552989,,"Не опрошен",,
79055554497,,"Не опрошен",,
79255504818,,"Не опрошен",,
79525558436,,"Не опрошен",,
79015556738,,"Не опрошен",,
79085557822,,"Не опрошен",,
79355510804,,"Не опрошен",,
79535553253,,"Не опрошен",,
79015558309,,"Не опрошен",,
79525553536,,"Не опрошен",,
79535553974,,"Не опрошен",,
79155546577,,"Не опрошен",,
79525552450,,"Не опрошен",,
79525558420,,"Не опрошен",,
79035550791,,"Не опрошен",,
79035558485,,"Не опрошен",,
79525555146,,"Не опрошен",,
79355504121,,"Не опрошен",,
79155544800,,"Не опрошен",,
79045556700,,"Не опрошен",,
79035552630,,"Не опрошен",,
79085556570,,"Не опрошен",,
79095556163,,"Не опрошен",,
79045551436,,"Не опрошен",,
79525551272,,"Не опрошен",,
79255549378,,"Не опрошен",,
79535555087,,"Не опрошен",,
79035557873,,"Не опрошен",,
79525559080,,"Не опрошен",,
79515553375,,"Не опрошен",,
79525559697,,"Не опрошен",,
79355514260,,"Не опрошен",,
79525552285,nagieew@mail.ru,Опрошен,Отлично,балансировка
79035558440,,"Не опрошен",,
79255548474,,"Не опрошен",,
79355528595,,"Не опрошен",,
79535557574,,"Не опрошен",,
79515557686,,"Не опрошен",,
79535556402,,"Не опрошен",,
79525553834,,"Не опрошен",,
79155578691,,"Не опрошен",,
79075558423,,"Не опрошен",,
79045558679,,"Не опрошен",,
79155523275,,"Не опрошен",,
79045552061,,"Не опрошен",,
79535551100,,"Не опрошен",,
79095558546,,"Не опрошен",,
79535551089,,"Не опрошен",,
79065551852,,"Не опрошен",,
79075550914,,"Не опрошен",,
79255574597,,"Не опрошен",,
79045555135,,"Не опрошен",,
79525550737,,"Не опрошен",,
79155580851,,"Не опрошен",,
79255518927,,"Не опрошен",,
79025553456,,"Не опрошен",,
79355561288,,"Не опрошен",,
79515550123,,"Не опрошен",,
79355522492,,"Не опрошен",,
79535556219,,"Не опрошен",,
79045553315,,"Не опрошен",,
79155512664,,"Не опрошен",,
79515553483,,"Не опрошен",,
79055556163,,"Не опрошен",,
79155580246,,"Не опрошен",,
79535552105,,"Не опрошен",,
79255589948,,"Не опрошен",,
79355595700,,"Не опрошен",,
79515555690,,"Не опрошен",,
79075556345,,"Не опрошен",,
79015556654,,"Не опрошен",,
79525556421,,"Не опрошен",,
79255514971,,"Не опрошен",,
79025556605,,"Не опрошен",,
79055552444,,"Не опрошен",,
79515559447,,"Не опрошен",,
79355585847,,"Не опрошен",,
79525553689,,"Не опрошен",,
79155589847,,"Не опрошен",,
79535552826,,"Не опрошен",,
79515553226,,"Не опрошен",,
79535555825,,"Не опрошен",,
79535554985,,"Не опрошен",,
79025555208,,"Не опрошен",,
79255502709,,"Не опрошен",,
79525555020,,"Не опрошен",,
79065556500,,"Не опрошен",,
79055554228,,"Не опрошен",,
79155529279,,"Не опрошен",,
79255532526,,"Не опрошен",,
79015551181,,"Не опрошен",,
79515550936,,"Не опрошен",,
79355570008,,"Не опрошен",,
79025558515,,"Не опрошен",,
79525555118,,"Не опрошен",,
79025558720,,"Не опрошен",,
79525556090,,"Не опрошен",,
79255594407,,"Не опрошен",,
79515558662,,"Не опрошен",,
79045553327,,"Не опрошен",,
79355576042,,"Не опрошен",,
79255595899,,"Не опрошен",,
79355549910,,"Не опрошен",,
79085555124,,"Не опрошен",,
79025556655,,"Не опрошен",,
79085554704,,"Не опрошен",,
79535556018,,"Не опрошен",,
79525550788,,"Не опрошен",,
79075553569,,"Не опрошен",,
79515550655,,"Не опрошен",,
79525557424,,"Не опрошен",,
79515558206,,"Не опрошен",,
79355565623,,"Не опрошен",,
79525553535,,"Не опрошен",,
79515551430,,"Не опрошен",,
79535557012,,"Не опрошен",,
79155598956,,"Не опрошен",,
79155553493,,"Не опрошен",,
79255530902,,"Не опрошен",,
79025551066,,"Не опрошен",,
79525550926,,"Не опрошен",,
79525556729,,"Не опрошен",,
79075555007,,"Не опрошен",,
79045559717,,"Не опрошен",,
79065557653,,"Не опрошен",,
79045558350,,"Не опрошен",,
79035550030,,"Не опрошен",,
79535551728,,"Не опрошен",,
79065557529,,"Не опрошен",,
79535557146,,"Не опрошен",,
79015551695,,"Не опрошен",,
79515556821,,"Не опрошен",,
79255539221,,"Не опрошен",,
79065555227,,"Не опрошен",,
79355555883,,"Не опрошен",,
79155512146,,"Не опрошен",,
79515554645,,"Не опрошен",,
79035556811,,"Не опрошен",,
79255588218,,"Не опрошен",,
79155568682,,"Не опрошен",,
79055553251,,"Не опрошен",,
79255536082,,"Не опрошен",,
79065551103,,"Не опрошен",,
79075550977,,"Не опрошен",,
79155508278,,"Не опрошен",,
79095554730,,"Не опрошен",,
79015557230,,"Не опрошен",,
79535550647,,"Не опрошен",,
79035557424,,"Не опрошен",,
79035555917,,"Не опрошен",,
79255588041,,"Не опрошен",,
79155526906,,"Не опрошен",,
79035555777,,"Не опрошен",,
79025555576,,"Не опрошен",,
79525555467,,"Не опрошен",,
79065552487,,"Не опрошен",,
79525551191,,"Не опрошен",,
79035554593,,"Не опрошен",,
79255523335,,"Не опрошен",,
79515552531,,"Не опрошен",,
79055553272,,"Не опрошен",,
79525556627,,"Не опрошен",,
79065554968,,"Не опрошен",,
79355584315,,"Не опрошен",,
79535551714,,"Не опрошен",,
79095556772,,"Не опрошен",,
79515552771,,"Не опрошен",,
79355532271,,"Не опрошен",,
79025557174,,"Не опрошен",,
79535556925,,"Не опрошен",,
79525559394,,"Не опрошен",,
79535558414,,"Не опрошен",,
79355572665,,"Не опрошен",,
79535551131,,"Не опрошен",,
79355507313,,"Не опрошен",,
79255560167,,"Не опрошен",,
79515556059,,"Не опрошен",,
79015558487,,"Не опрошен",,
79535556250,,"Не опрошен",,
79255593842,,"Не опрошен",,
79255516318,,"Не опрошен",,
79535559806,,"Не опрошен",,
79255555055,,"Не опрошен",,
79355589589,,"Не опрошен",,
79015550116,,"Не опрошен",,
79515558599,,"Не опрошен",,
79355525425,,"Не опрошен",,
79065555094,,"Не опрошен",,
79075558559,,"Не опрошен",,
79025554591,,"Не опрошен",,
79045558831,,"Не опрошен",,
79355504384,,"Не опрошен",,
79525556362,,"Не опрошен",,
79525554289,,"Не опрошен",,
79535556207,,"Не опрошен",,
79255547230,,"Не опрошен",,
79075551107,,"Не опрошен",,
79045551602,,"Не опрошен",,
79075550466,,"Не опрошен",,
79535559517,,"Не опрошен",,
79535555156,,"Не опрошен",,
79255544229,,"Не опрошен",,
79095552681,,"Не опрошен",,
79355539631,,"Не опрошен",,
79525552306,,"Не опрошен",,
79535554322,,"Не опрошен",,
79095552706,,"Не опрошен",,
79155503652,,"Не опрошен",,
79065553711,,"Не опрошен",,
79025550426,,"Не опрошен",,
79155521663,,"Не опрошен",,
79095555601,,"Не опрошен",,
79155555963,,"Не опрошен",,
79095555997,,"Не опрошен",,
79085557698,,"Не опрошен",,
79515554443,,"Не опрошен",,
79155579463,,"Не опрошен",,
79085552117,,"Не опрошен",,
79525551930,,"Не опрошен",,
79515555786,,"Не опрошен",,
79535551505,,"Не опрошен",,
79355553358,,"Не опрошен",,
79155547686,,"Не опрошен",,
79015552215,,"Не опрошен",,
79535557173,,"Не опрошен",,
79525550661,,"Не опрошен",,
79025559267,,"Не опрошен",,
79015551866,,"Не опрошен",,
79155594480,,"Не опрошен",,
79155541066,,"Не опрошен",,
79015559641,,"Не опрошен",,
79355533426,,"Не опрошен",,
79085556805,,"Не опрошен",,
79535550922,,"Не опрошен",,
79355565604,,"Не опрошен",,
79055551043,,"Не опрошен",,
79355507837,,"Не опрошен",,
79355593872,,"Не опрошен",,
79085550072,,"Не опрошен",,
79255538089,,"Не опрошен",,
79255537486,,"Не опрошен",,
79075551668,,"Не опрошен",,
79525554495,,"Не опрошен",,
79255504065,,"Не опрошен",,
79535558341,,"Не опрошен",,
79155556736,,"Не опрошен",,
79075554248,,"Не опрошен",,
79155512342,,"Не опрошен",,
79255516471,,"Не опрошен",,
79255559174,,"Не опрошен",,
79025559643,,"Не опрошен",,
79535556002,,"Не опрошен",,
79015555503,,"Не опрошен",,
79515557338,,"Не опрошен",,
79515550250,,"Не опрошен",,
79525555428,,"Не опрошен",,
79155593191,,"Не опрошен",,
79025554311,,"Не опрошен",,
79525553041,,"Не опрошен",,
79355587398,,"Не опрошен",,
79015558648,,"Не опрошен",,
79255533175,,"Не опрошен",,
79155508241,,"Не опрошен",,
79155561889,,"Не опрошен",,
79155542948,,"Не опрошен",,
79025554300,,"Не опрошен",,
79095551217,,"Не опрошен",,
79525559110,,"Не опрошен",,
79525553428,,"Не опрошен",,
79035551653,,"Не опрошен",,
79515559885,,"Не опрошен",,
79515553844,,"Не опрошен",,
79255584867,,"Не опрошен",,
79075556273,,"Не опрошен",,
79355599700,,"Не опрошен",,
79065552684,,"Не опрошен",,
79085559531,,"Не опрошен",,
79515550862,,"Не опрошен",,
79155583813,,"Не опрошен",,
79035553067,,"Не опрошен",,
79155548389,,"Не опрошен",,
79065553814,,"Не опрошен",,
79155503314,,"Не опрошен",,
79535552265,,"Не опрошен",,
79035555173,,"Не опрошен",,
79095559658,,"Не опрошен",,
79095553046,,"Не опрошен",,
79055558804,,"Не опрошен",,
79065553511,bojar50@mail.ru,Опрошен,Отлично,покупка
79535552563,,"Не опрошен",,
79525553020,,"Не опрошен",,
79515556682,,"Не опрошен",,
79085552973,,"Не опрошен",,
79515551227,,"Не опрошен",,
79045558857,,"Не опрошен",,
79255586225,,"Не опрошен",,
79535555949,,"Не опрошен",,
79155517548,,"Не опрошен",,
79015559023,,"Не опрошен",,
79255583693,,"Не опрошен",,
79155585103,,"Не опрошен",,
79535553418,,"Не опрошен",,
79515552844,,"Не опрошен",,
79155595843,,"Не опрошен",,
79035554462,,"Не опрошен",,
79525553360,,"Не опрошен",,
79075556755,,"Не опрошен",,
79025554720,,"Не опрошен",,
79355525264,,"Не опрошен",,
79355549995,,"Не опрошен",,
79045557991,,"Не опрошен",,
79065553700,,"Не опрошен",,
79155526764,,"Не опрошен",,
79535556920,,"Не опрошен",,
79155504060,,"Не опрошен",,
79515558556,,"Не опрошен",,
79255528079,,"Не опрошен",,
79035557757,,"Не опрошен",,
79255502809,,"Не опрошен",,
79535558233,,"Не опрошен",,
79515556590,,"Не опрошен",,
79525550626,,"Не опрошен",,
79535559671,,"Не опрошен",,
79515559212,,"Не опрошен",,
79525551523,,"Не опрошен",,
79155540868,,"Не опрошен",,
79075552244,,"Не опрошен",,
79515552602,,"Не опрошен",,
79065551748,,"Не опрошен",,
79535552278,,"Не опрошен",,
79515559016,,"Не опрошен",,
79255514504,,"Не опрошен",,
79255582188,,"Не опрошен",,
79255543999,,"Не опрошен",,
79055551775,,"Не опрошен",,
79255571380,,"Не опрошен",,
79075550347,,"Не опрошен",,
79255597534,,"Не опрошен",,
79355560601,,"Не опрошен",,
79025553901,,"Не опрошен",,
79155563596,,"Не опрошен",,
79515559623,,"Не опрошен",,
79255544678,,"Не опрошен",,
79355563653,,"Не опрошен",,
79255537337,,"Не опрошен",,
79515557806,,"Не опрошен",,
79155588067,,"Не опрошен",,
79355516926,,"Не опрошен",,
79515552750,,"Не опрошен",,
79155537837,,"Не опрошен",,
79065551867,,"Не опрошен",,
79525555633,,"Не опрошен",,
79355583248,,"Не опрошен",,
79255536113,,"Не опрошен",,
79155578550,,"Не опрошен",,
79095554480,,"Не опрошен",,
79085552436,,"Не опрошен",,
79155512436,,"Не опрошен",,
79355587919,,"Не опрошен",,
79255594187,,"Не опрошен",,
79095553651,,"Не опрошен",,
79355516089,,"Не опрошен",,
79015550878,,"Не опрошен",,
79535556484,,"Не опрошен",,
79525554880,,"Не опрошен",,
79155594138,,"Не опрошен",,
79075554193,,"Не опрошен",,
79045550055,,"Не опрошен",,
79155532452,,"Не опрошен",,
79535558043,,"Не опрошен",,
79045558792,,"Не опрошен",,
79535551639,,"Не опрошен",,
79525558069,,"Не опрошен",,
79095557220,,"Не опрошен",,
79255549337,,"Не опрошен",,
79255599033,,"Не опрошен",,
79085552310,,"Не опрошен",,
79355544659,,"Не опрошен",,
79095551367,,"Не опрошен",,
79025559469,,"Не опрошен",,
79075552017,,"Не опрошен",,
79155531477,,"Не опрошен",,
79255522382,,"Не опрошен",,
79255500275,,"Не опрошен",,
79085550691,,"Не опрошен",,
79515555831,,"Не опрошен",,
79535550688,,"Не опрошен",,
79035556627,,"Не опрошен",,
79515559933,,"Не опрошен",,
